Year,Venue,Date,Barcelona_Goals,Real_Madrid_Goals,Winner,Real_Madrid_Own_Goals,Barcelona_Own_Goals,Barcelona_Scorers,Real_Madrid_Scorers,League,source_file
1902,Hipodromo,1902-05-13,3,1,Barcelona,,,"Steinberg, Steinberg, Gamper",Johnson,Copa de la Coronacion,coronacion
1916,Camp del Carrer Muntaner,1916-03-26,2,1,Barcelona,,,"Alcántara, Martínez",Petit,Copa Del Rey,copa_del_rey
1916,Campo de O'Donnell,1916-04-02,1,4,Real Madrid,,,Martínez,"Bernabeu, Bernabeu, Bernabeu, Petit",Copa Del Rey,copa_del_rey
1916,Campo de O'Donnell,1916-04-13,6,6,Draw,,,"Alcántara, Alcántara, Alcántara, Mallorquí, Bau, Martínez","Belaunde, Belaunde, Belaunde, Bernabeu, Bernabeu, Bernabeu",Copa Del Rey,copa_del_rey
1916,Campo de O'Donnell,1916-04-15,2,4,Real Madrid,,,"Martínez, Martínez","Bernabéu, Zabalo, Aranguren, Aranguren",Copa Del Rey,copa_del_rey
1926,Santiago Bernabéu Stadium,1926-04-18,5,1,Barcelona,,,"Samitier, Samitier, Samitier, Samitier, Piera",Monjardín,Copa Del Rey,copa_del_rey
1926,Camp Nou,1926-04-26,3,0,Barcelona,,,"Piera, Samitier, Samitier",,Copa Del Rey,copa_del_rey
1929,Camp Nou,1929-02-17,1,2,Real Madrid,,,Parera,"Morera, Morera",La Liga,la_liga
1929,Santiago Bernabéu Stadium,1929-05-09,1,0,Barcelona,,,Sastre,,La Liga,la_liga
1930,Camp Nou,1930-01-26,1,4,Real Madrid,,,Bestit,"Rubio, Rubio, López, Lazcano",La Liga,la_liga
1930,Santiago Bernabéu Stadium,1930-03-30,1,5,Real Madrid,,,Goiburu,"Rubio, Rubio, Lazcano, Lazcano, Lazcano",La Liga,la_liga
1931,Santiago Bernabéu Stadium,1931-02-01,0,0,Draw,,,,,La Liga,la_liga
1931,Camp Nou,1931-04-05,3,1,Barcelona,,,"Ramón, Ramón, Ramón",Eugenio,La Liga,la_liga
1932,Santiago Bernabéu Stadium,1932-01-31,0,2,Real Madrid,,,,"Olivares, Olivares",La Liga,la_liga
1932,Camp Nou,1932-04-03,2,2,Draw,,,"Samitier, Arocha","Lazcano, Regueiro",La Liga,la_liga
1933,Camp Nou,1933-01-01,1,1,Draw,,,Arocha,Regueiro,La Liga,la_liga
1933,Santiago Bernabéu Stadium,1933-03-05,1,2,Real Madrid,,,Goiburu,"Samitier, Samitier",La Liga,la_liga
1933,Camp Nou,1933-11-26,1,2,Real Madrid,,,Morera,"Olivares, Regueiro",La Liga,la_liga
1934,Santiago Bernabéu Stadium,1934-01-28,0,4,Real Madrid,,,,"Valle, Samitier, Regueiro, Eugenio",La Liga,la_liga
1935,Santiago Bernabéu Stadium,1935-02-03,2,8,Real Madrid,,,"Escolà, Guzmán","Lazcano, Lazcano, Lazcano, Sañudo, Sañudo, Sañudo, Sañudo, Regueiro",La Liga,la_liga
1935,Camp Nou,1935-04-21,5,0,Barcelona,,,"Ventolrà, Ventolrà, Ventolrà, Ventolrà, Escolà",,La Liga,la_liga
1935,Camp Nou,1935-12-22,0,3,Real Madrid,,,,"Regueiro, Diz, Lecue",La Liga,la_liga
1936,Santiago Bernabéu Stadium,1936-03-22,0,3,Real Madrid,,,,"Lecue, Lecue, Emilin",La Liga,la_liga
1936,Mestalla Stadium,1936-06-21,1,2,Real Madrid,,,Escolà,"Eugenio, Lécue",Copa Del Rey,copa_del_rey
1940,Santiago Bernabéu Stadium,1940-01-28,1,2,Real Madrid,,,Pascual,"Alonso, Lecue",La Liga,la_liga
1940,Camp Nou,1940-04-14,0,0,Draw,,,,,La Liga,la_liga
1940,Camp Nou,1940-12-01,3,0,Barcelona,,,"Sospedra, Sospedra, Mas",,La Liga,la_liga
1941,Santiago Bernabéu Stadium,1941-02-23,2,1,Barcelona,,,"Bravo, Martín",Barinaga,La Liga,la_liga
1941,Santiago Bernabéu Stadium,1941-10-19,3,4,Real Madrid,,Benito,"Calvet, Raich, Gracia","Arbiza, Arbiza, Belmar",La Liga,la_liga
